date,clone_count
2023-06-03,1
2023-06-04,1
2023-06-05,1
2023-06-06,1
2023-06-07,1
2023-06-08,1
2023-06-09,1
2023-06-10,1
2023-06-11,1
2023-06-12,1
2023-06-13,1
2023-06-14,1
2023-06-15,1
2023-06-16,1
2023-06-17,1
2023-06-18,2
2023-06-19,2
2023-06-20,2
2023-06-21,4
2023-06-23,4
2023-06-23,4
2023-06-24,4
2023-06-25,4
2023-06-26,4
2023-06-28,4
2023-06-29,6
2023-07-01,6
2023-07-02,7
2023-07-03,7
2023-07-04,7
2023-07-05,7
2023-07-06,7
2023-07-07,7
2023-07-08,7
2023-07-09,7
2023-07-10,7
2023-07-11,7
2023-07-12,7
2023-07-13,7
2023-07-14,7
2023-07-15,7
2023-07-17,7
2023-07-20,7
2023-07-21,7
2023-07-22,7
2023-07-23,7
2023-07-24,7
2023-07-25,7
2023-07-26,7
2023-07-27,7
2023-07-28,9
2023-07-29,10
2023-07-30,10
2023-07-31,10
2023-08-01,10
2023-08-02,10
2023-08-04,10
2023-08-05,10
2023-08-06,12
2023-08-07,12
2023-08-09,13
2023-08-10,13
2023-08-14,13
2023-08-15,13
2023-08-16,13
2023-08-17,13
2023-08-19,13
2023-08-20,13
2023-08-21,13
2023-08-23,13
2023-08-24,13
